check_date,product_id,line,checked_count,defect_count
2025-09-01,P001,产线1,127,3
2025-09-01,P002,产线1,726,19
2025-09-01,P003,产线2,62,2
2025-09-01,P004,产线2,171,5
2025-09-01,P005,产线3,502,11
2025-09-01,P006,产线3,310,8
2025-09-02,P001,产线1,114,3
2025-09-02,P002,产线1,825,21
2025-09-02,P003,产线2,62,2
2025-09-02,P004,产线2,185,3
2025-09-02,P005,产线3,492,14
2025-09-02,P006,产线3,305,8
2025-09-03,P001,产线1,112,2
2025-09-03,P002,产线1,800,17
2025-09-03,P003,产线2,66,1
2025-09-03,P004,产线2,178,5
2025-09-03,P005,产线3,470,12
2025-09-03,P006,产线3,330,7
2025-09-04,P001,产线1,128,4
2025-09-04,P002,产线1,843,24
2025-09-04,P003,产线2,65,2
2025-09-04,P004,产线2,166,4
2025-09-04,P005,产线3,497,11
2025-09-04,P006,产线3,272,8
2025-09-05,P001,产线1,126,3
2025-09-05,P002,产线1,812,19
2025-09-05,P003,产线2,64,2
2025-09-05,P004,产线2,181,5
2025-09-05,P005,产线3,520,14
2025-09-05,P006,产线3,316,6
2025-09-06,P001,产线1,108,2
2025-09-06,P002,产线1,826,18
2025-09-06,P003,产线2,59,2
2025-09-06,P004,产线2,167,4
2025-09-06,P005,产线3,518,15
2025-09-06,P006,产线3,315,8
2025-09-07,P001,产线1,110,3
2025-09-07,P002,产线1,867,24
2025-09-07,P003,产线2,57,1
2025-09-07,P004,产线2,184,5
2025-09-07,P005,产线3,534,10
2025-09-07,P006,产线3,309,7
2025-09-08,P001,产线1,117,3
2025-09-08,P002,产线1,833,16
2025-09-08,P003,产线2,61,1
2025-09-08,P004,产线2,167,4
2025-09-08,P005,产线3,539,13
2025-09-08,P006,产线3,297,8
2025-09-09,P001,产线1,117,2
2025-09-09,P002,产线1,872,25
2025-09-09,P003,产线2,56,1
2025-09-09,P004,产线2,183,4
2025-09-09,P005,产线3,534,9
2025-09-09,P006,产线3,325,9
2025-09-10,P001,产线1,117,2
2025-09-10,P002,产线1,807,21
2025-09-10,P003,产线2,60,2
2025-09-10,P004,产线2,196,5
2025-09-10,P005,产线3,523,12
2025-09-10,P006,产线3,321,6
2025-09-11,P001,产线1,132,3
2025-09-11,P002,产线1,817,17
2025-09-11,P003,产线2,63,2
2025-09-11,P004,产线2,187,5
2025-09-11,P005,产线3,540,13
2025-09-11,P006,产线3,279,6
2025-09-12,P001,产线1,116,3
2025-09-12,P002,产线1,864,25
2025-09-12,P003,产线2,58,1
2025-09-12,P004,产线2,184,5
2025-09-12,P005,产线3,538,14
2025-09-12,P006,产线3,291,9
2025-09-13,P001,产线1,113,3
2025-09-13,P002,产线1,790,16
2025-09-13,P003,产线2,60,1
2025-09-13,P004,产线2,163,4
2025-09-13,P005,产线3,514,10
2025-09-13,P006,产线3,326,10
2025-09-14,P001,产线1,131,3
2025-09-14,P002,产线1,778,21
2025-09-14,P003,产线2,56,2
2025-09-14,P004,产线2,181,4
2025-09-14,P005,产线3,500,13
2025-09-14,P006,产线3,272,7
2025-09-15,P001,产线1,115,3
2025-09-15,P002,产线1,873,21
2025-09-15,P003,产线2,65,2
2025-09-15,P004,产线2,173,4
2025-09-15,P005,产线3,538,14
2025-09-15,P006,产线3,295,8
