sale_date,product_id,region_id,customer_id,quantity,amount,cost
2025-09-01,P001,R001,C005,23,8740.0,5912.14
2025-09-01,P001,R001,C007,37,14060.0,9217.49
2025-09-01,P001,R002,C002,14,5320.0,3408.69
2025-09-01,P001,R002,C006,6,2280.0,1476.96
2025-09-01,P001,R002,C008,9,3420.0,2286.11
2025-09-01,P001,R003,C009,18,6840.0,4846.75
2025-09-01,P001,R003,C003,10,3800.0,2560.96
2025-09-01,P001,R004,C004,8,3040.0,2176.38
2025-09-01,P001,R004,C010,8,3040.0,1956.58
2025-09-01,P002,R001,C011,142,12070.0,7165.39
2025-09-01,P002,R001,C001,150,12750.0,7800.66
2025-09-01,P002,R001,C005,37,3145.0,1851.88
2025-09-01,P002,R001,C007,54,4590.0,2735.27
2025-09-01,P002,R002,C006,20,1700.0,1102.2
2025-09-01,P002,R002,C012,81,6885.0,4211.31
2025-09-01,P002,R002,C002,52,4420.0,2577.96
2025-09-01,P002,R002,C008,32,2720.0,1691.68
2025-09-01,P002,R003,C009,77,6545.0,3837.9
2025-09-01,P002,R003,C003,46,3910.0,2499.21
2025-09-01,P002,R004,C004,32,2720.0,1682.27
2025-09-01,P002,R004,C010,37,3145.0,2046.3
2025-09-01,P003,R001,C011,18,11160.0,7655.56
2025-09-01,P003,R001,C007,10,6200.0,4219.79
2025-09-01,P003,R002,C002,7,4340.0,2978.19
2025-09-01,P003,R002,C006,2,1240.0,856.6
2025-09-01,P003,R002,C008,4,2480.0,1752.08
2025-09-01,P003,R003,C009,6,3720.0,2618.33
2025-09-01,P003,R003,C003,3,1860.0,1362.38
2025-09-01,P003,R004,C010,4,2480.0,1692.2
2025-09-01,P003,R004,C004,3,1860.0,1371.59
2025-09-01,P004,R001,C001,32,7680.0,5206.63
2025-09-01,P004,R001,C005,9,2160.0,1346.66
2025-09-01,P004,R001,C011,34,8160.0,5055.99
2025-09-01,P004,R002,C002,16,3840.0,2444.13
2025-09-01,P004,R002,C012,13,3120.0,1962.64
2025-09-01,P004,R002,C008,8,1920.0,1275.23
2025-09-01,P004,R002,C006,6,1440.0,886.31
2025-09-01,P004,R003,C009,27,6480.0,3960.47
2025-09-01,P004,R003,C003,13,3120.0,2048.35
2025-09-01,P004,R004,C004,12,2880.0,1959.28
2025-09-01,P004,R004,C010,6,1440.0,966.53
2025-09-01,P005,R001,C001,119,5355.0,3106.86
2025-09-01,P005,R001,C007,66,2970.0,1683.34
2025-09-01,P005,R002,C012,70,3150.0,1857.87
2025-09-01,P005,R002,C008,30,1350.0,748.73
2025-09-01,P005,R002,C006,33,1485.0,901.05
2025-09-01,P005,R003,C003,36,1620.0,981.53
2025-09-01,P005,R003,C009,77,3465.0,2023.96
2025-09-01,P005,R004,C010,24,1080.0,591.73
2025-09-01,P005,R004,C004,30,1350.0,800.73
2025-09-01,P006,R001,C001,71,8520.0,5407.97
2025-09-01,P006,R001,C005,20,2400.0,1510.31
2025-09-01,P006,R002,C002,41,4920.0,2952.2
2025-09-01,P006,R002,C006,9,1080.0,713.18
2025-09-01,P006,R002,C008,15,1800.0,1192.89
2025-09-01,P006,R002,C012,40,4800.0,2924.95
2025-09-01,P006,R003,C003,21,2520.0,1571.84
2025-09-01,P006,R003,C009,42,5040.0,3110.67
2025-09-01,P006,R004,C010,17,2040.0,1316.63
2025-09-01,P006,R004,C004,21,2520.0,1526.0
2025-09-02,P001,R001,C005,5,1900.0,1350.42
2025-09-02,P001,R001,C011,13,4940.0,3197.1
2025-09-02,P001,R001,C001,18,6840.0,4731.2
2025-09-02,P001,R001,C007,10,3800.0,2665.26
2025-09-02,P001,R002,C012,10,3800.0,2686.46
2025-09-02,P001,R002,C006,5,1900.0,1226.37
2025-09-02,P001,R002,C008,8,3040.0,1984.66
2025-09-02,P001,R002,C002,10,3800.0,2565.18
2025-09-02,P001,R003,C003,12,4560.0,3160.12
2025-09-02,P001,R003,C009,15,5700.0,4004.36
2025-09-02,P001,R004,C004,9,3420.0,2396.49
2025-09-02,P001,R004,C010,5,1900.0,1363.37
2025-09-02,P002,R001,C005,35,2975.0,1782.98
2025-09-02,P002,R001,C007,62,5270.0,3204.46
2025-09-02,P002,R001,C001,99,8415.0,5427.88
2025-09-02,P002,R001,C011,101,8585.0,5248.22
2025-09-02,P002,R002,C012,92,7820.0,4755.04
2025-09-02,P002,R002,C006,47,3995.0,2421.17
2025-09-02,P002,R002,C008,69,5865.0,3624.27
2025-09-02,P002,R003,C003,64,5440.0,3530.48
